2935,Admin,"Nimbalkarwadi,Haveli,4",7-10-2023,11:37:40 PM
2936,Admin,"Nimbalkarwadi,Haveli,7",7-10-2023,11:40:15 PM
2937,Admin,"Nanded ,Haveli,43",7-10-2023,11:41:01 PM
2938,Admin,"Nanded ,Haveli,43,75",7-10-2023,11:42:48 PM
2939,Admin,"Khadakwasale,Haveli,43",7-10-2023,11:43:46 PM
2940,Admin,"Kirkitwadi,Haveli,262",7-10-2023,11:46:37 PM
2941,Admin,"Khadakwasale,Haveli,44",7-10-2023,11:47:32 PM
2942,Admin,"Kirkitwadi,Haveli,262",7-10-2023,11:48:49 PM
2943,Admin,"Nanded ,Haveli,43",7-10-2023,11:49:59 PM
2944,Admin,"Khadakwasale,Haveli,43",7-10-2023,11:50:27 PM
2945,Admin,"Nimbalkarwadi,Haveli,4",7-10-2023,11:51:19 PM
2946,Admin,"Khadakwasale,Haveli,75",7-10-2023,12:13:51 AM
2947,Admin,"Nanded ,Haveli,43",7-10-2023,12:14:14 AM
2948,Admin,"Khadakwasale,Haveli,43",7-10-2023,12:14:47 AM
2949,admin,"Narhe,Haveli,55",7-11-2023,10:57:57 AM
2950,admin,"Kirkitwadi,Haveli,72",7-11-2023,11:05:04 AM
2951,user1,"Kirkitwadi,Haveli,72",7-11-2023,11:06:18 AM
2952,user1,"Kirkitwadi,Haveli,547",7-11-2023,11:10:31 AM
2953,admin,"Kirkitwadi,Haveli,547",7-11-2023,11:10:37 AM
2954,user1,"Kirkitwadi,Haveli,72",7-11-2023,11:19:17 AM
2955,admin,"Naygaon,Mawal,191",7-11-2023,11:34:00 AM
2956,admin,"Parandwadi,Mawal,171",7-11-2023,11:44:45 AM
2957,admin,"Parandwadi,Mawal,102",7-11-2023,11:50:49 AM
2958,admin,"Parandwadi,Mawal,129",7-11-2023,12:16:50 PM
2959,user1,"Parandwadi,Mawal,113",7-11-2023,12:22:23 PM
2960,admin,"Sadavli,Mawal,1",7-11-2023,12:36:24 PM
2961,admin,"Sangavi,Mawal,37",7-11-2023,12:39:31 PM
2962,admin,"Umbare Navalakh,Mawal,503",7-11-2023,12:43:37 PM
2963,admin,"Umbare Navalakh,Mawal,637",7-11-2023,12:49:40 PM
2964,admin,"Umbare Navalakh,Mawal,15",7-11-2023,12:51:00 PM
2965,admin,"Jambhul,Mawal,210",7-11-2023,12:56:41 PM
2966,admin,"Mangarul,Mawal",7-11-2023,12:58:41 PM
2967,admin,"Karunj,Mawal,266",7-11-2023,1:03:21 PM
2968,admin,"Karunj,Mawal,266",7-11-2023,1:04:38 PM
2969,admin,"Karunj,Mawal,266",7-11-2023,1:05:48 PM
2970,admin,"Urse,Mawal,425",7-11-2023,1:12:13 PM
2971,user1,"Urse,Mawal,425",7-11-2023,1:12:28 PM
2972,admin,"Nimbalkarwadi,Haveli,30",7-11-2023,1:22:07 PM
2973,admin,"Nimbalkarwadi,Haveli,12",7-11-2023,1:27:04 PM
2974,admin,"Nimbalkarwadi,Haveli,15",7-11-2023,1:30:28 PM
2975,admin,"Nimbalkarwadi,Haveli,4",7-11-2023,1:36:49 PM
2976,admin,"Nimbalkarwadi,Haveli,7",7-11-2023,1:37:26 PM
2977,admin,"Manjari Kh.,Haveli,143",7-11-2023,2:36:34 PM
2978,user1,"Loni-Kalbhor,Haveli,328",7-11-2023,2:43:00 PM
2979,user1,"Loni-Kalbhor,Haveli,22",7-11-2023,2:43:31 PM
2980,user1,"Loni-Kalbhor,Haveli,22",7-11-2023,2:44:52 PM
2981,user1,"Loni-Kalbhor,Haveli,22",7-11-2023,2:45:01 PM
2982,admin,"Loni-Kalbhor,Haveli,22",7-11-2023,2:45:34 PM
2983,user1,"Kadamvak Wasti,Haveli,1078",7-11-2023,3:01:11 PM
2984,admin,"Shevalwadi,Haveli,1",7-11-2023,3:20:57 PM
2985,admin,"Shevalwadi,Haveli,1",7-11-2023,3:21:14 PM
2986,admin,"Shevalwadi,Haveli,45",7-11-2023,3:25:38 PM
2987,admin,"Manjari Bk,Haveli,1",7-11-2023,3:34:20 PM
2988,admin,"Shevalwadi,Haveli,1",7-11-2023,3:35:36 PM
2989,admin,"Shevalwadi,Haveli,1",7-11-2023,3:45:41 PM
2990,admin,"Kadamvak Wasti,Haveli",7-11-2023,4:14:45 PM
2991,admin,"Autad Handewadi,Haveli,23",7-11-2023,4:20:24 PM
2992,admin,"Autad Handewadi,Haveli,11",7-11-2023,4:21:07 PM
2993,admin,"Kadamvak Wasti,Haveli,3",7-11-2023,4:24:56 PM
2994,admin,"Kadamvak Wasti,Haveli,3",7-11-2023,4:25:05 PM
2995,admin,"Manjari Bk,Haveli,3",7-11-2023,4:25:24 PM
2996,admin,"Kasar Amboli,Mulshi",7-11-2023,4:42:25 PM
2997,admin,"Nanoli Tarf Chakan,Mawal",7-11-2023,5:00:49 PM
2998,admin,"Sus,Mulshi,260",7-11-2023,5:03:15 PM
2999,admin,"Sus,Mulshi,260",7-11-2023,5:03:16 PM
3000,admin,"Nanoli Tarf Chakan,Mawal",7-11-2023,5:06:37 PM
3001,admin,"Chande,Mulshi,210",7-11-2023,5:21:31 PM
3002,admin,"Chande,Mulshi,210",7-11-2023,5:21:31 PM
3003,admin,"Hinjavadi,Mulshi,27",7-11-2023,5:34:02 PM
3004,admin,"Man,Mulshi,24",7-11-2023,5:46:01 PM
3005,user1,"Man,Mulshi,24",7-11-2023,5:50:53 PM
3006,admin,"Ghotavde,Mulshi,349",7-11-2023,6:06:23 PM
3007,admin,"Nere,Mulshi,57",7-11-2023,6:13:49 PM
3008,admin,"Godumbare,Mawal,376",7-11-2023,6:17:08 PM
3009,admin,"Sangavade,Mawal,40",7-11-2023,6:17:48 PM
3010,admin,"Godumbare,Mawal,376",7-11-2023,6:18:30 PM
3011,Admin,"Dive,Purandar,",7-11-2023,9:36:28 PM
3012,Admin,"Dive,Purandar,",7-11-2023,9:36:36 PM
3013,Admin,"Dive,Purandar,1",7-11-2023,9:36:40 PM
3014,Admin,"Jadhavwadi,Purandar,52",7-11-2023,9:51:57 PM
3015,Admin,"Singapur,Purandar,434",7-11-2023,9:52:32 PM
3016,Admin,"Dive,Purandar,1367",7-11-2023,9:54:10 PM
3017,Admin,"Dive,Purandar,1367",7-11-2023,9:54:40 PM
3018,Admin,"Singapur,Purandar,434",7-11-2023,9:56:57 PM
3019,Admin,"Zendewadi,Purandar,535",7-11-2023,9:59:43 PM
3020,Admin,"Zendewadi,Purandar,544",7-11-2023,9:59:51 PM
3021,Admin,"Zendewadi,Purandar,165",7-11-2023,10:10:43 PM
3022,Admin,"Zendewadi,Purandar,535",7-11-2023,10:11:26 PM
3023,Admin,"Zendewadi,Purandar,544",7-11-2023,10:12:21 PM
3024,Admin,"Dive,Purandar,534",7-11-2023,10:14:33 PM
3025,Admin,"Dive,Purandar,1712",7-11-2023,10:26:25 PM
3026,Admin,"Dive,Purandar,1712",7-11-2023,10:26:31 PM
3027,Admin,"Dive,Purandar,1712",7-11-2023,10:26:35 PM
3028,Admin,"Dive,Purandar,1712",7-11-2023,10:26:36 PM
3029,Admin,"Kumbharvalan,Purandar,18",7-11-2023,10:33:56 PM
3030,Admin,"Shivapur,Haveli,50",7-11-2023,10:41:58 PM
3031,Admin,"Kasurdi,Bhor,151",7-11-2023,10:50:39 PM
3032,Admin,"Shivapur,Haveli,117",7-11-2023,10:55:52 PM
3033,Admin,"Khed Shivapur,Haveli,305",7-11-2023,11:07:28 PM
3034,Admin,"Khed Shivapur,Haveli,610",7-11-2023,11:08:33 PM
3035,Admin,"Khed Shivapur,Haveli,610",7-11-2023,11:08:38 PM
3036,Admin,"Velu,Bhor,610",7-11-2023,11:08:59 PM
3037,Admin,"Khed Shivapur,Haveli,305",7-11-2023,11:13:08 PM
3038,Admin,H&TCC24,7-11-2023,11:15:56 PM
3039,Admin,H&TCC24,7-11-2023,11:15:58 PM
3040,Admin,H&TCC24,7-11-2023,11:15:59 PM
3041,Admin,H&TCC24,7-11-2023,11:15:59 PM
3042,Admin,H&TCC24,7-11-2023,11:15:59 PM
3043,Admin,H&TCC24,7-11-2023,11:15:59 PM
3044,Admin,H&TCC24,7-11-2023,11:16:00 PM
3045,Admin,H&TCC24,7-11-2023,11:16:00 PM
3046,Admin,H&TCC24,7-11-2023,11:16:00 PM
3047,Admin,"Shivapur,Haveli,H&TCC24",7-11-2023,11:16:50 PM
3048,Admin,"Shivapur,Haveli,H&TCC24",7-11-2023,11:16:54 PM
3049,Admin,"Shivapur,Haveli,H&TCC24",7-11-2023,11:16:56 PM
3050,Admin,"Shivare,Bhor,114",7-11-2023,11:17:48 PM
3051,Admin,"Kasurdi,Bhor,224",7-11-2023,11:23:03 PM
3052,Admin,"Yawat,Daund,431",7-11-2023,11:31:28 PM
3053,Admin,"Yawat,Daund,790",7-11-2023,11:38:06 PM
3054,Admin,"Boripardhi,Daund,1",7-11-2023,11:44:57 PM
3055,Admin,"Boripardhi,Daund,225",7-11-2023,11:47:35 PM
3056,admin,"Sus,Mulshi,25",7-12-2023,10:11:51 AM
